,0
4295,Rules Of Origin And Origin Procedures Product Specific Rules
4296,Trade-Related Provisions Technical Regulations
4297,Rules Of Origin Change In Tariff Classification
4298,Rules Of Origin Change In Tariff Classification
4299,Rules Of Origin And Operational Procedures Regional Value Content (Rvc)
4300,Rules Of Origin Origin Certification Document
4301,Origin Procedures And Trade Facilitation Certificate Of Origin
4302,Origin Procedures Verification By Competent Authority Of Exporting Party
4303,Rules Of Origin And Origin Procedures Obligations Relating To Exportation
4304,Rules Of Origin Importer Requirements
4305,Rules Of Origin For Goods Definitions
4306,Other Trade Related Provisions Scope And Coverage
4307,Rules Of Origin Origin Certification Document
4308,"Technical Regulations, Standards, And Conformity Assessment Procedures Scope"
4309,Industrial Products Technical Regulations
4310,"Standards, Technical Regulations And Conformity Assessment Procedures Conformity Assessment Procedures"
4311,Mutual Recognition Registration Or Designation Of Conformity Assessment Bodies And Withdrawal Thereof
4312,"Standards, Technical Regulations And Conformity Assessment Procedures Conformity Assessment Procedures"
4313,Rules Of Origin And Origin Procedures Section A: Rules Of Origin Fungible Goods And Materials
4314,"Standards, Technical Regulations And Conformity Assessment Procedures Conformity Assessment Procedures"
4315,Mutual Recognition Miscellaneous Provisions
4316,Mutual Recognition General Obligations
4317,Rules Of Origin And Origin Procedures Section A: Rules Of Origin Obligations Relating To Exportations
4318,Other Trade-Related Provisions Standardisation And Conformity Assessment
4319,"Technical Regulations, Standards And Conformity Assessment Procedures International Standards"
4320,"Technical Regulations, Standards And Conformity Assessment Procedures Affirmation Of Agreement On Technical Barriers To Trade"
4321,Mutual Recognition Registration Or Designation Of Conformity Assessment Bodies And Withdrawal Thereof
4322,"Technical Regulations, Standards, And Conformity Assessment Procedures Reaffirmation Of Rights And Obligations"
4323,"Technical Regulations, Standards And Conformity Assessment Procedures Enquiry Point"
4324,Institutional Requirements Institutions Of The Agreement
4325,Technical Barriers To Trade Compliance Period For Technical Regulations And Conformity Assessment Procedures
4326,Technical Regulation Accreditation
4327,Mutual Recognition Registration Or Designation Of Conformity Assessment Bodies And Withdrawal Thereof
4328,Mutual Recognition Registration Or Designation Of Conformity Assessment Bodies And Withdrawal Thereof
4329,Mutual Recognition Registration Or Designation Of Conformity Assessment Bodies And Withdrawal Thereof
4330,"Standards, Technical Regulations And Conformity Assessment Procedures Scope"
4331,Mutual Recognition Registration Or Designation Of Conformity Assessment Bodies And Withdrawal Thereof
4332,"Standards, Technical Regulations And Conformity Assessment Procedures Conformity Assessment Procedures"
4333,"Standards, Technical Regulations And Conformity Assessment Procedures Information Exchange"
4334,Mutual Recognition Registration Or Designation Of Conformity Assessment Bodies And Withdrawal Thereof
4335,"Technical Regulations, Standards And Conformity Assessment Procedures Conformity Assessment"
4336,Mutual Recognition Registration Or Designation Of Conformity Assessment Bodies And Withdrawal Thereof
4337,Technical Standards Accreditation
4338,"Standards, Technical Regulations And Conformity Assessment Procedures Reaffirmation Of Rights And Obligations"
4339,General Provisions And Exceptions Review Of Agreement
4340,Consultations And Settlement Of Disputes Consultations
4341,Procedures For And Settlement Of Disputes Reasonable Time-Limit For Compliance
4342,Mutual Recognition Registration Or Designation Of Conformity Assessment Bodies And Withdrawal Thereof
4343,Mutual Recognition Registration Or Designation Of Conformity Assessment Bodies And Withdrawal Thereof
4344,"Standards, Technical Regulations And Conformity Assessment Procedures Conformity Assessment Procedures"
4345,Regulatory Framework Regulatory Authority
4346,Environment Levels Of Protection And Right To Regulate
4347,Common Provisions Emergency Action On Imports Of Particular Products
4348,Wine And Distilled Spirits International Obligation
4349,Wine And Distilled Spirits Coverage
4350,Agriculture And Fisheries Wine And Spirit Drinks Protocol
4351,Agriculture And Fisheries Wine And Spirit Drinks Protocol
4352,Agriculture And Fisheries Wine And Spirit Drinks Protocol
4353,National Treatment And Market Access Distilled Spirits
4354,National Treatment And Market Access For Goods Geographical Indications For Wines And Spirits
4355,Agriculture And Fisheries Wine And Spirit Drinks Protocol
4356,Common Provisions Technical Regulations
4357,National Treatment And Market Access For Goods Geographical Indications For Wines And Spirits
4358,Agriculture And Fisheries Wine And Spirit Drinks Protocol
4359,Customs Administration Penalties
4360,Wine And Distilled Spirits Distinctive Products
4361,Wine And Distilled Spirits International Obligation
4362,National Treatment And Market Access For Goods Geographical Indications For Wines And Spirits
4363,Agriculture And Fisheries Wine And Spirit Drinks Protocol
4364,Wine And Distilled Spirits International Obligation
4365,Wine And Distilled Spirits International Obligation
4366,Agriculture And Fisheries Wine And Spirit Drinks Protocol
4367,Wine And Distilled Spirits Coverage
4368,National Treatment And Market Access Of Goods Wine And Distilled Spirits
4369,General Provisions And Definitions Relation To Environmental And Conservation Agreements
4370,"Other Trade Related Provisions Sub-Committee On Standards, Technical Regulations And Conformity Assessment"
4371,"Technical Regulations, Standards And Conformity Assessment Procedures Reaffirmation Of Rights And Obligations"
4372,Regulation Of Drugs And Medical Products Circulation Establishment Of Common Market Of Medical Products (Healthcare Products And Medical Devices)
4373,Pharmaceutical Products And Medical Devices General Provisions
4374,Intellectual Property Rights Protection Of Data Submitted To Obtain A Marketing Authorisation For Medicinal Products (1)
4375,"Regulatory Framework Scope, Definitions And Principles"
4376,Bilateral Cooperation Pharmaceuticals
4377,Intellectual Property Rights Protection Of Data Submitted To Obtain A Marketing Authorisation For Medicinal Products (1)
4378,General Provisions Nature And Scope Of The Obligations
4379,"Technical Regulations, Standards And Conformity Assessment Procedures Reaffirmation Of Tbt Agreement"
4380,Intellectual Property Rights Protection Of Data Submitted To Obtain A Marketing Authorisation For Medicinal Products (1)
4381,Intellectual Property Rights Protection Of Data Submitted To Obtain A Marketing Authorisation For Medicinal Products (1)
4382,Intellectual Property Rights Protection Of Data Submitted To Obtain A Marketing Authorisation For Medicinal Products (1)
4383,Regulatory Framework Procedures
4384,Intellectual Property Rights Protection Of Data Submitted To Obtain A Marketing Authorisation For Medicinal Products (1)
4385,Market Access For Goods Import And Export Licensing Procedures
4386,Intellectual Property Rights Protection Of Data Submitted To Obtain A Marketing Authorisation For Medicinal Products (1)
4387,Protection Of Intellectual Property Right Of Inspection
4388,Bilateral Cooperation Pharmaceuticals
4389,"Other Trade Related Provisions Sub-Committee On Standards, Technical Regulations And Conformity Assessment"
4390,"Technical Regulations, Standards And Conformity Assessment Procedures Technical Regulations"
4391,National Treatment And Market Access For Goods Scope And General Provisions
4392,Product Coverage Sanitary And Phytosanitary Measures
4393,Regulatory Framework Effective And Transparent Regulation
4394,Customs Regulation Customs Regulation In The Eaeu
4395,Customs Procedures And Trade Facilitation Facilitation And Harmonisation
4396,"Technical Regulations, Standards And Conformity Assessment Procedures Trade Facilitation"
4397,General Provisions Nature And Scope Of The Obligations
4398,"Technical Regulations, Standards And Conformity Assessment Procedures Reaffirmation Of Tbt Agreement"
4399,Standards-Related Measures Assessment Of Risk
4400,Standards-Related Measures Assessment Of Risk
4401,"Rules Of Origin Consultations, Review And Modification"
4402,National Treatment And Market Access For Goods Duty-Free Entry Of No Commercial Value Articles That Are For Advertising Purposes Or To Be Used As Samples
4403,Intellectual Property Rights Protection Of Data Submitted To Obtain A Marketing Authorisation For Medicinal Products (1)
4404,Regulatory Framework Procedures
4405,Intellectual Property Rights Protection Of Data Submitted To Obtain A Marketing Authorisation For Medicinal Products (1)
4406,National Treatment And Market Access For Goods Duty-Free Entries Of Commercial Samples Of Negligible Value And Printed Advertising Materials
4407,National Treatment And Market Access For Goods Duty-Free Entry Of No Commercial Value Articles That Are For Advertising Purposes Or To Be Used As Samples
4408,National Treatment And Market Access For Goods Duty-Free Entries Of Commercial Samples Of Negligible Value And Printed Advertising Materials
4409,Technical Barriers To Trade Marking And Labeling
4410,Sanitary And Phytosanitary Measures Collaboration On Animal Welfare
4411,Standards-Related Measures Use Of International Standards
4412,Common Market Customs Co-Operation Communication Of Customs Information
4413,"Technical, Sanitary And Phytosanitary Regulations And Standards Confidentiality"
4414,"Standards, Technical Regulations And Conformity Assessment Procedures Reaffirmation Of Rights And Obligations"
4415,"Other Trade Related Provisions Sub-Committee On Standards, Technical Regulations And Conformity Assessment"
4416,"Technical Regulations, Standards And Conformity Assessment Procedures Reaffirmation Of Rights And Obligations"
4417,Regulation Of Drugs And Medical Products Circulation Establishment Of Common Market Of Medical Products (Healthcare Products And Medical Devices)
4418,Pharmaceutical Products And Medical Devices Definitions
4419,Regulatory Framework Confidentiality Of Information
4420,"Technical Regulations, Standards And Conformity Assessment Procedures Scope And Coverage"
4421,"Standards, Technical Regulations And Conformity Assessment Procedures Agreements Or Arrangements"
4422,"Standards, Technical Regulations And Conformity Assessment Procedures Consultations"
4423,General Provisions Nature And Scope Of The Obligations
4424,"Technical Regulations, Standards And Conformity Assessment Procedures Reaffirmation Of Tbt Agreement"
4425,"Technical Regulations, Standards And Conformity Assessment Procedures Reaffirmation Of Rights And Obligations"
4426,Regulatory Framework Confidentiality Of Information
4427,Pharmaceutical Products And Medical Devices Dissemination Of Information
4428,Regulation Of Drugs And Medical Products Circulation Establishment Of Common Market Of Medical Products (Healthcare Products And Medical Devices)
4429,"Technical Regulations, Standards And Conformity Assessment Procedures Technical Regulations"
4430,Regulation Of Drugs And Medical Products Circulation Establishment Of Common Market Of Medical Products (Healthcare Products And Medical Devices)
4431,Intellectual Property Rights Protection Of Data Submitted To Obtain A Marketing Authorisation For Medicinal Products (1)
4432,Pharmaceutical Products And Medical Devices Transparency
4433,Other Provisions Annexes And Subsequent Agreements
4434,Investments Expropriation
4435,Investment Expropriation And Nationalisation
4436,Other Provisions Amendments
4437,Investment Expropriation And Compensation 11-2
4438,Investment General Provisions
4439,General Provisions And Definitions Extent Of Obligations
4440,General Provisions And Definitions Extent Of Obligations
4441,Investment National Treatment In Respect Of The Establishment And Acquisition Of Investments
4442,Agriculture And Fisheries Review Clause
4443,Trade Related Provisions Internal Taxation And Regulation
4444,Investment Scope Of Chapter 8
4445,Investment And Services Investment Conditions
4446,Investment National Treatment In Respect Of The Establishment And Acquisition Of Investments
4447,Investment Review Of Reservations
4448,Investment Most Favoured Nation Treatment With Respect To The Promotion And Protection Of Investments
4449,Agricultural Products Scope And Exchange Of Concessions
4450,Agricultural Products Scope And Exchange Of Concessions
4451,Services And Investment Most Favoured Nation Treatment
4452,Services And Investment General Provisions
4453,"Investment, Trade In Services And Temporary Entry Of Business Persons Scope And Coverage"
4454,Entry And Temporary Stay Of Nationals For Business Purposes Sub-Committee On Entry And Temporary Stay Of Nationals For Business Purposes
4455,Financial Services Most-Favoured-Nation Treatment 13
4456,Financial Services Most-Favoured-Nation Treatment 13
4457,General Provisions State Trading Enterprises
4458,Services Specific Commitments
4459,Trade In Services Specific Commitments
4460,Cross-Border Supply Of Services Definitions
4461,Temporary Entry Of Business Persons General Principles
4462,"Investment, Trade In Services And Temporary Entry Of Business Persons Grant Of Temporary Entry"
4463,Investment National Treatment In Respect Of The Establishment And Acquisition Of Investments
4464,Cross-Border Trade In Services Domestic Regulation4
4465,Trade In Services And Rules Of Establishment Maritime Transport
4466,Administrative And Institutional Provisions Establishment Of The New Zealand – China Free Trade Area Joint Commission
4467,Sanitary And Phyto-Sanitary Measures (Sps) Competent Authority
4468,Sanitary And Phytosanitary Measures And Food Standards Consultative Forum On Sanitary And Phytosanitary Measures And Food Standards
4469,Other Trade-Related Provisions Standardisation And Conformity Assessment
4470,Sanitary And Phytosanitary Measures Recognition For Trade Purposes Of Animal Health And Pest Status And Regional Conditions
4471,Sanitary And Phytosanitary Measures Emergency Measures
4472,"Standards And Technical Regulations, Sanitary And Phytosanitary Measures General Obligations"
4473,"Agriculture And Sanitary And Phytosanitary Measures Control, Inspection And Approval Procedures"
4474,Emergency Action Standards For Emergency Actions
4475,Institutional And Procedural Provisions Fulfilment Of Obligations And Consultations
4476,Sanitary And Phytosanitary Measures Facilitation Of Trade And Implementing Arrangements
4477,Sanitary And Phytosanitary Measures Facilitation Of Trade And Implementing Arrangements
4478,Co-Operation Sub-Committee On Co-Operation
4479,Implementation And Operation Of The Agreement Confidential Information
4480,Administration Of The Agreement Communications
4481,Establishment Other Agreements
4482,Administrative And Institutional Provisions Establishment Of The New Zealand – China Free Trade Area Joint Commission
4483,"Sanitary, Veterinary And Sanitary And Phytosanitary Quarantine Measures Application Of Veterinary And Sanitary Measures"
4484,Accompanying Arrangements For Liberalization Government Procurement
4485,Trade-Related Provisions Public Procurement
4486,Government Procurement Procurement Procedures And Other Provisions
4487,Government Procurement General Principles National Treatment And Non-Discrimination
4488,General Provisions And Exceptions Government Procurement
4489,Initial Provisions Application Of This Agreement
4490,Government Procurement Valuation Rules
4491,Government Procurement Valuation Rules
4492,Government Procurement Valuation Rules
4493,Government Procurement Procurement Procedures And Other Provisions
4494,Public Procurement Opening Of Tenders And Awarding Of Contracts
4495,Government Procurement Provision Of Information And Review As Regards Of Parties
4496,Government Procurement Information And Review As Regards Obligations Of Entities
4497,Government Procurement Transparency In Procurement Information
4498,Government Procurement Prohibition Of Offsets And National Preferences
4499,Government Procurement Offsets
4500,Dispute Settlement Procedures Rules Of Procedure And Code Of Conduct
4501,Government Procurement Domestic Review Of Supplier Complaints
4502,Procedures For And Settlement Of Disputes Interim Report By The Arbitration Panel
4503,Dispute Settlement Withdrawal Of Complaint
4504,Government Procurement Domestic Review Of Supplier Complaints
4505,Dispute Settlement Procedures The Reasonable Period Of Time For Compliance
4506,General Provisions And Exceptions Government Procurement
4507,Custom Duties And Non-Tariff Measures Special Provisions On Administrative Cooperation
4508,General Provisions And Exceptions Government Procurement
4509,Government Procurement Exceptions To The Chapter
4510,Administrative And Final Provisions Joint Committee And Review
4511,Government Procurement Committee On Government Procurement
4512,Principles General Undertaking As To Implementation
4513,"State Monopolies, Competition Rules, Payments And Other Economic Provisions Intellectual, Industrial And Commercial Property Rights"
4514,Competition Application Of Competition Laws
4515,Competition Policy Cross-Border Consumer Protection
4516,Competition Policy Information
4517,Common Principles And Rules Of Competition General Provisions
4518,Transparency And Administrative Proceedings Confidential Information
4519,Competition Dispute Resolution
4520,Competition Policy Competition Law And Anticompetitive Activities
4521,Competition Competition Law And Authorities
4522,Competition Competition Law And Authorities
4523,Competition Law And Policy General Principles
4524,Common Principles And Rules Of Competition General Provisions
4525,Transparent Administration Of Laws And Regulations Review And Appeal
4526,General Provisions And Exceptions Confidentiality
4527,General Provisions Confidentiality Of Information
4528,Implementation And Operation Of The Agreement Confidential Information
4529,General Provisions Confidentiality Of Information
4530,Competition And Consumer Protection Objectives
4531,Electronic Commerce Protection From Fraudulent And Deceptive Commercialpractices
4532,Telecommunications Additional Obligations Relating To Conduct Of Major Suppliers Of Public Telecommunications Services2
4533,Trade Remedies Notification And Consultation
4534,Competition And Consumer Protection Cooperation On Consumer Protection
4535,Cooperation And Capacity Building General Provisions
4536,Technical Barriers To Trade Cooperation For Regulatory Effectiveness
4537,Nature And Scope Of This Agreement Scope
4538,General Provisions Contact Points And Exchange Of Information
4539,General Provisions Contact Points And Exchange Of Information
4540,Cooperation Exchange Of Information
4541,General Provisions Contact Points And Exchange Of Information
4542,General Provisions Specific Tasks Of The Association Committee In Cooperation Matters
4543,Cooperation Cooperation With Non-Parties
4544,Technical Barriers To Trade And Mutual Recognition Preservation Of Regulatory Authority
4545,Cooperation Specific Purposes
4546,Dispute Settlement Official Language
4547,Dispute Avoidance And Settlement Rules Of Procedure
4548,General Provisions Aims Of The Agreement
4549,Nature And Scope Of This Agreement Principles
4550,General And Final Provisions Modalities For The Continuation Of Negotiations
4551,Consultations And Settlement Of Disputes Consultations
4552,Consultations And Dispute Settlement General Provisions
4553,Settlement Of Disputes Amicable Resolution
4554,Procedures For The Settlement Of Disputes Mutually Agreed Solution
4555,Consultations And Dispute Settlement Arbitral Tribunal Procedures
4556,Dispute Settlement Establishment And Composition Of An Arbitral Tribunal
4557,Dispute Settlement Appointment Of Arbitral Tribunals
4558,Institutional Arrangements And Dispute Settlement Procedures Wto Dispute Settlement
4559,Dispute Settlement Qualifications Of The Arbitrators
4560,Dispute Settlement Functions Of An Arbitral Tribunal
4561,Consultations And Dispute Settlement Functions Of Arbitral Tribunals
4562,Consultations And Dispute Settlement Establishment And Re-Convening Of Arbitral Tribunals
4563,Consultations And Dispute Settlement Proceedings Of Arbitral Tribunals
4564,Consultations And Dispute Settlement Proceedings Of Arbitral Tribunals
4565,Dispute Settlement Proceedings Of The Arbitral Tribunal
4566,Dispute Settlement Proceedings Of The Arbitral Tribunal
4567,Dispute Settlement Rules Of Procedure For Arbitral Tribunals
4568,Consultations And Dispute Settlement Proceedings Of Arbitral Tribunals
4569,Dispute Settlement Report Of The Arbitral Tribunal
4570,Dispute Settlement Reports Of The Arbitral Tribunal
4571,Procedures For And Settlement Of Disputes Reasonable Time-Limit For Compliance
4572,Dispute Settlement Procedures Review Of Any Measure Taken To Comply With The Arbitration Panel
4573,Dispute Settlement Non-Implementation - Suspension Of Benefits
4574,Dispute Settlement Mechanism Compensation And Suspension Of Benefits
4575,Institutional Provisions Establishment Of The Closer Economic Partnership Joint Commission
4576,Administration Of The Agreement The Joint Commission
4577,Administration Of The Agreement The Joint Commission
4578,Administrative And Institutional Provisions Meetings Of The Joint Commission
4579,Administrative And Institutional Provisions Meetings Of The Joint Commission
4580,Administration Of The Agreement The Joint Commission
4581,Other Trade Related Provisions Sub-Committee On Sanitary And Phytosanitary Matters
4582,Sanitary And Phytosanitary Measures Cooperative Technical Consultations
4583,Sanitary And Phytosanitary Measures Consultative Arrangements
4584,Arrangements For Trade In Goods Committee Procedure
4585,Other Trade Related Provisions Objectives
4586,Final Provisions Relation To The Bilateral Arrangements On Trade In Agricultural Products
4587,Final Provisions Duration
4588,Institutional Provisions Meetings Of The Joint Committee
4589,General Provisions Rules Of Procedure Of The Joint Committee
4590,Institutional And Procedural Provisions Procedures Of The Joint Committee
4591,Administration Of The Agreement General Provisions
4592,"Dispute Settlement Non–Implementation, Compensation And Suspension Of Concessions Or Other Obligations"
4593,Government Procurement Exceptions To The Chapter
4594,Trade In Goods Publication And Administration Of Trade Regulations
4595,General Provisions Trade And Economic Relations Covered By This Agreement
4596,General Provisions Contact Points And Exchange Of Information
4597,General Provisions Trade And Economic Relations Covered By This Agreement
4598,General Provisions Relation To The Wto Agreement
4599,General Provisions And Definitions Relation To Environmental And Conservation Agreements
4600,Trade In Services Incorporation Of Provisions From The Gats
4601,Environment The Relationship Between This Agreement And The Agreement On The Environment
4602,Other Provisions Cultural Industries
4603,Temporary Presence Of Natural Persons For Business Purpose Contractual Services Suppliers And Independent Professionals
4604,General And Final Provisions Non-Discrimination
4605,National Treatment And Market Access For Goods Sub-Committee On Market Access For Goods
4606,Exceptions Payments And Transfers And Restrictions To Safeguard The Balance Of Payments
4607,General Provisions Relation To The Wto Agreement
4608,General Provisions Time-Limits
4609,Common Provisions Notifications And Consultations Procedure
4610,Trade In Goods Restrictions To Safeguard The Balance Of Payments
4611,Exceptions And General Provisions Treaty Of Waitangi
4612,General Provisions And Exceptions Treaty Of Waitangi
4613,Other Provisions Tax Convention
4614,General Provisions Relation To The Wto Agreement
4615,Other Provisions Tax Convention
4616,Investment Constitution Of A Tribunal By The Secretary-General
4617,"Institutional And Final Provisions Customs Unions, Free-Trade Areas And Frontier Trade This Agreement Shall Not Prevent The Maintenance Or Establishment Of Customs Unions, Free-Trade"
4618,Investment Expropriation And Compensation 11-2
4619,Customs Duties And Non-Tariff Measures National Treatment Of Internal Taxation And Regulation
4620,General Provisions Relation To The Wto Agreement
4621,General Provisions Relation To The Wto Agreement
4622,"Institutional And Final Provisions Customs Unions, Free-Trade Areas And Frontier Trade This Agreement Shall Not Prevent The Maintenance Or Establishment Of Customs Unions, Free-Trade"
4623,General And Final Provisions Non-Discrimination
4624,General Provisions And Concluding Requirements Accession To The Agreement
4625,Final Provisions Termination Of Existing Agreements
4626,Technical Standards Affirmation Of Gatt Agreement
4627,Trade In Goods Elimination Of Customs Duties
4628,Trade Regime For Goods Classification Of Goods
4629,Border Measures Waiver Of Customs Duties
4630,Border Measures Waiver Of Customs Duties
4631,Trade In Goods Rules Of Origin And Mutual Assistance In Customs Matters
4632,Trade In Goods Rules Of Origin And Mutual Assistance In Customs Matters
4633,National Treatment And Market Access For Goods Good Re-Entered After Repair Or Alteration
4634,Customs Procedures And Trade Facilitation Temporary Admission Of Goods
4635,Customs Procedures And Trade Facilitation Temporary Admission Of Goods
4636,Customs Procedures And Cooperation Temporary Admission Of Goods
4637,Rules Of Origin Containers And Packing Materials For Shipment
4638,Common Provisions Customs Duty
4639,Trade In Goods Temporary Admission Of Goods
4640,Customs Procedures And Trade Facilitation Temporary Admission Of Goods
4641,"General Provisions Rules Of Origin, Co-Operation And Customs Administration"
4642,Rules Of Origin And Origin Procedures Section A: Rules Of Origin Transit And Transshipment
4643,Trade Remedies Article Xix Of The Gatt 1994 And The Safeguards Agreement
4644,Emergency Action Article Xix Of The Gatt 1994 And The Agreement On Safeguards Of The Wto.
4645,Trade Remedies Article Xix Of The Gatt 1994 And The Safeguards Agreement
4646,"General Provisions Rules Of Origin, Co-Operation And Customs Administration"
4647,General Provisions Electronic Commerce
4648,Trade In Goods Rules Of Origin And Mutual Assistance In Customs Matters
4649,Trade In Goods Rules Of Origin And Mutual Assistance In Customs Matters
4650,Trade In Goods Rules Of Origin And Administrative Cooperation
4651,General Provisions Contact Points And Exchange Of Information
4652,Other Trade Related Provisions Antidumping And Countervailing Measures
4653,Other Trade Related Provisions Antidumping And Countervailing Measures
4654,Rules Of Origin And Origin Procedures Section A: Rules Of Origin Exceptions
4655,Rules Of Origin And Operational Procedures Obligations Regarding Importations
4656,"Wto Rights And Obligations Standards, Technical Regulation And Conformity Assessment Procedures"
4657,Rules Of Origin And Implementation Procedures Requirements Regarding Importation
4658,Rules Of Origin And Origin Procedures Section A: Rules Of Origin Obligations Relating To Importations
4659,Rules Of Origin And Implementation Procedures Requirements Regarding Importation
4660,Rules Of Origin And Origin Procedures Section A: Rules Of Origin Obligations Relating To Importations
4661,Rules Of Origin And Implementation Procedures Requirements Regarding Importation
4662,Rules Of Origin And Origin Procedures Obligations Relating To Importations
4663,Rules Of Origin Obligations Related To Importations
4664,National Treatment And Market Access For Goods Fees And Other Charges On Imports And Exports
4665,Trade In Goods Consular Fees
4666,Trade In Goods Fees And Charges Connected With Importation And Exportation
4667,Custom Duties And Non-Tariff Measures Rules Of Origin
4668,General Provisions Relation To The Wto Agreement
4669,Trade In Goods Transparency And Review Of Non-Tariff Measures
4670,Customs Duties And Non-Tariff Measures Agricultural Export Subsidies
4671,Trade In Goods Subsidies
4672,Trade Remedies Article Xix Of The Gatt 1994 And The Safeguards Agreement
4673,Nature And Scope Of This Agreement Principles
4674,Trade Related Provisions Antidumping And Countervailing Measures
4675,Trade In Goods Notification Of Petition For Investigation And Exchange Of Information
4676,Consultations And Dispute Settlement General Provisions
4677,Rules Of Origin And Origin Procedures Section A: Rules Of Origin Fungible Goods And Materials
4678,Rules Of Origin Goods Produced Using Non-Originating Materials
4679,Rules Of Origin And Implementation Procedures Regional Value Content
4680,Rules Of Origin Recording Of Costs
4681,Rules Of Origin Goods Produced Using Non-Originating Materials
4682,Rules Of Origin And Origin Procedures Section A: Rules Of Origin Regional Value Content
4683,Rules Of Origin Calculation Of Costs Œ Allowable Expenditure On Materials
4684,Rules Of Origin And Related Operational Procedures Fungible Materials And Goods
4685,General Provisions Structural Adjustments
4686,Rules Of Origin Goods Produced Using Non-Originating Materials
4687,Rules Of Origin Goods Produced Using Non-Originating Materials
4688,Initial Provisions Establishment Of A Free Trade Area And Relation To The Wto Agreement
4689,General Provisions Trade Relations Governed By This Agreement
4690,Rules Of Origin And Implementation Procedures Claims For Preferential Tariff Treatment
4691,Rules Of Origin Goods Produced Using Non-Originating Materials
4692,Trade-Related Provisions Technical Regulations
4693,"Rules Of Origin Accessories, Spare Parts, Tools And Instructional Or Other Information Materials"
4694,Rules Of Origin And Operational Procedures Packaging Materials And Containers For Retail Sale
4695,Rules Of Origin And Implementation Procedures Regional Value Content
4696,Rules Of Origin Indirect Material
4697,Rules Of Origin Transhipment
4698,Rules Of Origin Goods In Transport Or Storage
4699,Rules Of Origin And Origin Procedures Claims For Preferential Tariff Treatment
4700,Customs Procedures Related To The Origin Of Goods Origin Certification
4701,Rules Of Origin Origin Certification Document
4702,Rules Of Origin Origin Certification Document
4703,Customs Procedures Related To The Origin Of Goods Origin Certification
4704,Origin Procedures Validity Of Certificate Of Origin
4705,Rules Of Origin Origin Certification Document
4706,Rules Of Origin And Origin Procedures Basis Of A Certification Of Origin
4707,Rules Of Origin And Origin Procedures Basis Of A Certification Of Origin
4708,Rules Of Origin And Origin Procedures Basis Of A Certification Of Origin
4709,Rules Of Origin And Related Operational Procedures Exemption Of Obligation Of Submitting Certificate Of Origin
4710,Rules Of Origin And Origin Procedures Claims For Preferential Tariff Treatment
4711,Origin Procedures Verification By Customs Authority Of Importing Party
4712,Rules Of Origin And Origin Procedures Determinations On Claims For Preferential Tariff Treatment
4713,Rules Of Origin And Origin Procedures Post-Importation Claims For Preferential Tariff Treatment
4714,Rules Of Origin And Origin Procedures Section A: Rules Of Origin Record Keeping Requirements
4715,Customs Procedures Record Keeping Requirement
4716,Customs Procedures Related To The Origin Of Goods Origin Verification Procedures
4717,Customs Procedures Obligations Relating To Importations
4718,Rules Of Origin And Origin Procedures Section A: Rules Of Origin Obligations Relating To Exportations
4719,Customs Procedures Verifications For Preferential Tariff Treatment
4720,Customs Administration Advance Rulings
4721,Rules Of Origin And Origin Procedures Verification Visit
4722,Origin Procedures Verification By Customs Authority Of Importing Party
4723,Rules Of Origin And Origin Procedures Verification Visit
4724,Certificate Of Origin And Customs Procedures Customs Cooperation For Trade Facilitation
4725,Origin Procedures Verification By Customs Authority Of Importing Party
4726,Customs Administration And Trade Facilitation Experts And Witnesses
4727,Rules Of Origin And Implementation Procedures Claims For Preferential Tariff Treatment
4728,Rules Of Origin And Operational Procedures Denial Of Preferential Tariff Treatment
4729,Rules Of Origin And Origin Procedures Determinations On Claims For Preferential Tariff Treatment
4730,Rules Of Origin And Implementation Procedures Claims For Preferential Tariff Treatment
4731,Rules Of Origin And Implementation Procedures Claims For Preferential Tariff Treatment
4732,Rules Of Origin And Origin Procedures Post-Importation Claims For Preferential Tariff Treatment
4733,Administration Of The Agreement Communications
4734,Dispute Settlement Modification Of The Chapter
4735,Final Provisions Modifications
4736,Customs Procedures And Trade Facilitation General Principles
4737,Customs Procedures Trade Facilitation
4738,Customs Procedures Publication And Availability Of Information
4739,Customs Procedures Sharing Of Best Practices And Cooperation
4740,Customs Procedures And Trade Facilitation General Principles
4741,Customs Procedures Related To The Origin Of Goods Advance Rulings
4742,Rules Of Origin And Origin Procedures Determinations On Claims For Preferential Tariff Treatment
4743,Customs Advance Rulings
4744,Customs Advance Rulings
4745,Customs Advance Rulings
4746,Final Provisions Notification Of Provisional Application
4747,Customs And Trade Facilitation Customs And Trade-Related Procedures
4748,Exceptions Disclosure Of Information
4749,Customs Procedures General Provisions
4750,Customs Procedures And Trade Facilitation Release Of Goods
4751,Trade In Goods Restrictions To Safeguard The Balance Of Payments Under Chapter 2
4752,Customs Procedures Related To The Origin Of Goods Obligations Regarding Importations
4753,Customs Procedures And Trade Facilitation Release Of Goods
4754,Sanitary And Phytosanitary Measures Obligations Of The Parties
4755,Procedures Related To Rules Of Origin Transitional Provision For Goods In Transit Or Storage
4756,Customs Procedures Release Of Goods
4757,Customs Administration Risk Management
4758,Other Trade Related Provisions Safeguards
4759,Customs Procedures Advance Rulings
4760,Customs Procedures Review Process
4761,Sanitary And Phytosanitary Measures Enquiry Point
4762,Sanitary And Phytosanitary Measures Incorporation Of The Sps Agreement
4763,"Institutional, General And Final Provisions Annexes"
